Breed Score,Diversity,Utility,Traits,Ex-situ,In-situ
B.Galloway,45,20,41.7,13.4,36.4
B.White,59,20,50,11.6,55.7
D.Shorthorn,9,-1,8.3,9.8,49.2
N.d.Shorthorn,19,10,25,4.3,59.9
Devon,81,10,41.7,10.6,34.2
Dexter,73,20,41.7,9.7,13.7
Galloway,46,20,33.3,13.6,60.5
Gloucester,41,40,8.3,2.3,80.8
Guernsey,63,30,16.7,13.7,52.7
Highland,63,40,50,13.4,37.5
I.Moiled,57,20,33.3,7.4,66.5
L.Red,61,10,16.7,8.9,43.5
Longhorn,58,10,16.7,7.3,36.7
Luing,39,20,41.7,15,32.4
Red.P,64,20,50,9.7,60.3
Shetland,47,20,41.7,6.6,54.6
Vaynol,20,20,25,8.8,83.6
W.Park,47,20,25,7.9,61
W.Shorthorn,46,20,41.7,8.6,77.7
