Breed Score,Diversity,Utility,Traits,Ex-situ,In-situ
B.Galloway,45,40,83,90,43
B.White,59,40,100,78,66
D.Shorthorn,9,-1,17,66,58
N.d.Shorthorn,19,20,50,29,70
Devon,81,20,83,70,40
Dexter,73,40,83,65,16
Galloway,46,40,67,91,71
Gloucester,41,80,17,16,95
Guernsey,63,60,33,92,62
Highland,63,80,100,90,44
I.Moiled,57,40,67,49,78
L.Red,61,20,33,59,51
Longhorn,58,20,33,49,43
Luing,39,40,83,100,38
Red.P,64,40,100,65,71
Shetland,47,40,83,44,64
Vaynol,20,40,50,58,98
W.Park,47,40,50,53,72
W.Shorthorn,46,40,83,57,91
